"module"	"local_status"	"rmd_count"	"html_count"	"rmd"	"html"	"sample_inputs"	"sample_outputs"
"FigureYa102multipanelROC"	"tracked-local"	"1"	"1"	"FigureYa102multipanelROC/FigureYa102multipanelROC.Rmd"	"FigureYa102multipanelROC/FigureYa102multipanelROC.html"	"FigureYa102multipanelROC/easy_input_test.txt;FigureYa102multipanelROC/easy_input_train.txt;FigureYa102multipanelROC/example.png"	"FigureYa102multipanelROC/example.png;FigureYa102multipanelROC/multipanelROC.pdf"
"FigureYa105GDSC"	"tracked-local"	"1"	"1"	"FigureYa105GDSC/FigureYa105GDSC.Rmd"	"FigureYa105GDSC/FigureYa105GDSC.html"	"FigureYa105GDSC/easy_input_anno.txt;FigureYa105GDSC/easy_input_expr.txt;FigureYa105GDSC/example.png"	"FigureYa105GDSC/boxplot of predicted IC50.pdf;FigureYa105GDSC/boxplot of predicted IC50_multiple.pdf;FigureYa105GDSC/example.png;FigureYa105GDSC/output_pvalue.txt"
"FigureYa106immunotherapy"	"tracked-local"	"1"	"1"	"FigureYa106immunotherapy/FigureYa106immunotherapy.Rmd"	"FigureYa106immunotherapy/FigureYa106immunotherapy.html"	"FigureYa106immunotherapy/easy_input_anno.txt;FigureYa106immunotherapy/easy_input_expr.txt;FigureYa106immunotherapy/example.png"	"FigureYa106immunotherapy/130452/SubMap_Bonferroni_SAmatrix.pdf;FigureYa106immunotherapy/example.png;FigureYa106immunotherapy/heatmap_submap.pdf"
"FigureYa110mutationSignature"	"tracked-local"	"1"	"1"	"FigureYa110mutationSignature/FigureYa110mutationSignature.Rmd"	"FigureYa110mutationSignature/FigureYa110mutationSignature.html"	"FigureYa110mutationSignature/example.png"	"FigureYa110mutationSignature/Cophenetic coefficient for seleting optimal nmf rank.pdf;FigureYa110mutationSignature/Figures/TCGA-2F-A9KO-01_plotSignatures.pdf;FigureYa110mutationSignature/Figures/TCGA-2F-A9KO-01_weightPie.pdf;FigureYa110mutationSignature/Figures/TCGA-2F-A9KP-01_plotSignatures.pdf;FigureYa110mutationSignature/Figures/TCGA-2F-A9KP-01_weightPie.pdf;FigureYa110mutationSignature/Figures/TCGA-2F-A9KQ-01_plotSignatures.pdf;FigureYa110mutationSignature/Figures/TCGA-2F-A9KQ-01_weightPie.pdf;FigureYa110mutationSignature/Figures/TCGA-2F-A9KR-01_plotSignatures.pdf"
"FigureYa112Plus_venn"	"tracked-local"	"1"	"1"	"FigureYa112Plus_venn/FigureYa112Plus_venn.Rmd"	"FigureYa112Plus_venn/FigureYa112Plus_venn.html"	"FigureYa112Plus_venn/easy_input_info.txt;FigureYa112Plus_venn/example.jpeg"	"FigureYa112Plus_venn/venn_2.pdf;FigureYa112Plus_venn/venn_3.pdf;FigureYa112Plus_venn/venn_4.pdf"
"FigureYa113MutSigCV"	"tracked-local"	"1"	"1"	"FigureYa113MutSigCV/FigureYa113MutSigCV.Rmd"	"FigureYa113MutSigCV/FigureYa113MutSigCV.html"	"FigureYa113MutSigCV/easy_input_local.mut.txt;FigureYa113MutSigCV/easy_input_meta.local mutation.full.txt;FigureYa113MutSigCV/easy_input_meta.mut.txt;FigureYa113MutSigCV/example.png"	"FigureYa113MutSigCV/How to run MutSigCV.pdf;FigureYa113MutSigCV/MATLAB R2017a安装方法.pdf;FigureYa113MutSigCV/example.png;FigureYa113MutSigCV/matlab.png;FigureYa113MutSigCV/oncoprint_mutsigcv_detailed_variationtype.pdf"
"FigureYa114ternaryCluster"	"tracked-local"	"1"	"1"	"FigureYa114ternaryCluster/FigureYa114ternaryCluster.Rmd"	"FigureYa114ternaryCluster/FigureYa114ternaryCluster.html"	"FigureYa114ternaryCluster/easy_input_expr.csv;FigureYa114ternaryCluster/easy_input_signatures.csv;FigureYa114ternaryCluster/example.png"	"FigureYa114ternaryCluster/Heatmap_TernaryCluster.pdf;FigureYa114ternaryCluster/example.png"
"FigureYa116supervisedCluster"	"tracked-local"	"1"	"1"	"FigureYa116supervisedCluster/FigureYa116supervisedCluster.Rmd"	"FigureYa116supervisedCluster/FigureYa116supervisedCluster.html"	"FigureYa116supervisedCluster/easy_input_count.txt;FigureYa116supervisedCluster/easy_input_info.txt;FigureYa116supervisedCluster/example.png"	"FigureYa116supervisedCluster/example.png;FigureYa116supervisedCluster/heatmap for validation set by top markers.pdf;FigureYa116supervisedCluster/testing_data.pdf;FigureYa116supervisedCluster/training_data.pdf"
"FigureYa119Multiclasslimma"	"tracked-local"	"1"	"1"	"FigureYa119Multiclasslimma/FigureYa119Multiclasslimma.Rmd"	"FigureYa119Multiclasslimma/FigureYa119Multiclasslimma.html"	"FigureYa119Multiclasslimma/easy_input_FPKM.txt;FigureYa119Multiclasslimma/easy_input_subtype.txt"	""
"FigureYa128Prognostic"	"tracked-local"	"1"	"1"	"FigureYa128Prognostic/FigureYa128Prognostic.Rmd"	"FigureYa128Prognostic/FigureYa128Prognostic.html"	"FigureYa128Prognostic/easy_input_cli.csv;FigureYa128Prognostic/easy_input_expr.csv"	"FigureYa128Prognostic/AUCandKM.pdf"
"FigureYa131CMap_update"	"tracked-local"	"1"	"1"	"FigureYa131CMap_update/FigureYa131CMap_update.Rmd"	"FigureYa131CMap_update/FigureYa131CMap_update.html"	"FigureYa131CMap_update/example.png"	"FigureYa131CMap_update/CMap_heatmap.pdf;FigureYa131CMap_update/MoA.pdf;FigureYa131CMap_update/example.png"
"FigureYa13GSEA_Java_update"	"tracked-local"	"1"	"1"	"FigureYa13GSEA_Java_update/FigureYa13GSEA_Java_update.Rmd"	"FigureYa13GSEA_Java_update/FigureYa13GSEA_Java_update.html"	"FigureYa13GSEA_Java_update/example1.png;FigureYa13GSEA_Java_update/example2.png;FigureYa13GSEA_Java_update/example3.png"	"FigureYa13GSEA_Java_update/example1.png;FigureYa13GSEA_Java_update/example2.png;FigureYa13GSEA_Java_update/example3.png;FigureYa13GSEA_Java_update/prettyGSEAbar.pdf;FigureYa13GSEA_Java_update/prettyGSEAline.pdf;FigureYa13GSEA_Java_update/prettyGSEApoint.pdf"
