"module"	"local_available"
"FigureYa1survivalCurve_update"	"False"
"FigureYa4bestSeparation"	"False"
"FigureYa5bubbles"	"False"
"FigureYa6rHRsV2"	"False"
"FigureYa7PSM"	"False"
"FigureYa8radarChart"	"False"
"FigureYa9heatmap"	"True"
"FigureYa10chromosomeV2_update"	"False"
"FigureYa11bubbles"	"False"
"FigureYa12box"	"False"
"FigureYa13GSEA_Java_update"	"True"
"FigureYa15WGCNA"	"False"
"FigureYa16WGCNA_fitting"	"False"
"FigureYa17WGCNA_heatmap"	"True"
"FigureYa18oncoplot_update"	"True"
"FigureYa19Lollipop"	"False"
"FigureYa20mortalityV2"	"False"
"FigureYa21TCGA2table"	"False"
"FigureYa22FPKM2TPM"	"False"
"FigureYa23count2TPMv2"	"False"
"FigureYa24ROC"	"True"
"FigureYa25Sankey_update"	"False"
"FigureYa26circos_R"	"True"
"FigureYa30nomogram_update"	"False"
"FigureYa31lasso_update"	"True"
"FigureYa32ID_table"	"False"
"FigureYa33DCA_update"	"False"
"FigureYa34count2FPKMv2"	"False"
"FigureYa35batch_bestSeparationV3_update"	"False"
"FigureYa36nSurvV3"	"True"
"FigureYa37correlationV2_update"	"False"
"FigureYa39bar"	"True"
"FigureYa41GEO2lncRNA_update"	"True"
"FigureYa42oncoprintV2_update"	"True"
"FigureYa43ManhattanV2"	"False"
"FigureYa47HRtable"	"True"
"FigureYa48Adonis"	"False"
"FigureYa51TMB_update"	"False"
"FigureYa52GOplot"	"False"
"FigureYa55plus_pancancer_boxplot"	"False"
"FigureYa58lncRNAreannotation"	"True"
"FigureYa59volcanoV2"	"True"
"FigureYa59Plus_GEO2DEG"	"True"
"FigureYa60GSEA_clusterProfilerV2"	"True"
"FigureYa62twoAxis"	"False"
"FigureYa63pubmedMiningV2"	"False"
"FigureYa65SVM"	"True"
"FigureYa66UnivariateCox"	"False"
"FigureYa67phastCons"	"False"
"FigureYa68friendsV2"	"False"
"FigureYa73batchCorrelation"	"True"
"FigureYa74OmicCircos"	"True"
"FigureYa75bubble_volcano"	"True"
"FigureYa76corrgram"	"False"
"FigureYa77baseZoom"	"False"
"FigureYa81immune_network"	"True"
"FigureYa83enrichment"	"False"
"FigureYa84roast"	"False"
"FigureYa85timeROC"	"True"
"FigureYa87fish"	"True"
"FigureYa89ggplotCirco"	"False"
"FigureYa90subgroup"	"True"
"FigureYa91cluster_heatmap"	"False"
"FigureYa95pairwise"	"False"
"FigureYa96R2"	"False"
"FigureYa97correlationV3"	"True"
"FigureYa98STEMheatmapV2"	"False"
"FigureYa99smoothHRv2"	"False"
"FigureYa102multipanelROC"	"True"
"FigureYa103coAbundant"	"False"
"FigureYa106immunotherapy"	"True"
"FigureYa109SubtypeGSEA_update"	"False"
"FigureYa101PCA"	"False"
"FigureYa112venn"	"False"
"FigureYa112Plus_venn"	"True"
"FigureYa114ternaryCluster"	"True"
"FigureYa115cofactor"	"False"
"FigureYa116supervisedCluster"	"True"
"FigureYa117multilinearDE"	"False"
"FigureYa118MulticlassDESeq2"	"False"
"FigureYa119Multiclasslimma"	"True"
"FigureYa120MulticlassedgeR"	"False"
"FigureYa122mut2expr"	"False"
"FigureYa123mutVSexpr"	"False"
"FigureYa124AssociationHeatmap"	"False"
"FigureYa125FishertestV2"	"False"
"FigureYa126CorrelationHeatmap"	"False"
"FigureYa127HeatmapPie"	"False"
"FigureYa128Prognostic"	"True"
"FigureYa131CMap_update"	"True"
"FigureYa132alteration"	"False"
"FigureYa135multiVolcano"	"False"
"FigureYa138NiceCalibration"	"False"
"FigureYa139TMB_titv"	"False"
"FigureYa140mosaicpie"	"False"
"FigureYa141risk"	"True"
"FigureYa142circosBar"	"False"
"FigureYa143survCor"	"False"
"FigureYa144DiagHeatmap"	"False"
"FigureYa145target"	"True"
"FigureYa146TMEbox"	"True"
"FigureYa147interaction"	"True"
"FigureYa147Plus_STRING"	"False"
